comment,comment_likes,replies,user_name,date
Precio,0,[],@VictorManuelHernandezMunozVHM,2024-02-10T05:42:56Z
Don't confuse become a good AI tool user vs. learn AI.,0,[],@Noswebeamus,2024-02-09T10:44:24Z
"Really captivating video, you know how to lock attention of short-attention-span guys",0,[],@vladislava5237,2024-02-09T02:39:46Z
You look good in wet hair❤,0,[],@_Arindam.,2024-02-07T18:55:23Z
Business Inqueries: Business Inquiries,0,[],@AP-ib7rf,2024-02-07T10:39:55Z
the best I swear to god,0,[],@yyy-ml1yg,2024-02-07T09:46:53Z
❤😊 amazing video,0,[],@wilfredomartel7781,2024-02-06T11:10:42Z
I really love your Naruto analogies,0,[],@woodylucas,2024-02-05T17:04:52Z
"your face skin is glowing , it takes my attention more than the content you are telling about,😁😁",0,[],@nirbhaykumar2675,2024-02-05T16:09:14Z
Wkwkwk,0,[],@lindakusuma6671,2024-02-05T15:08:42Z
"yo can anyone who watched the video, list the steps? thanks",0,[],@kachekijaanlega,2024-02-05T08:53:40Z
"the secrets to that glass skin you have, next topic for your video, please 🙏🏻🥺",0,[],@abc_cba,2024-02-04T08:52:56Z
I am sooo excited to try all these. 🤩🤩🤩,0,[],@merjenjumageldiyeva1201,2024-02-04T05:48:57Z
Watched this one video then subscribed!,0,[],@GregBedard,2024-02-03T23:47:42Z
WoW the road map i create and do it myself is just like you. Except that i comment out some math that learn in U. Great tips!,0,[],@nuntawatc5953,2024-02-03T14:55:05Z
ty so much,0,[],@rahulshendre7089,2024-02-03T11:44:01Z
in love with your content ,0,[],@tinasingh3188,2024-02-03T08:58:32Z
Hey that was not a hot dog,0,[],@shivambhagat2540,2024-02-02T15:08:31Z
This method is really cool! Also the little baby model emoji! Love ittt! ❤❤❤,1,[],@authentic_101,2024-02-02T05:25:20Z
Thanks.,0,[],@ohman5618,2024-02-02T04:34:18Z
"Wow this is pretty useful and clear, thanks!",0,[],@antochava,2024-02-01T22:50:44Z
