comment,comment_likes,replies,user_name,date
"1 BILLION views for Never Gonna Give You Up!  Amazing, crazy, wonderful! Rick ♥️",1329650,"['cool', 'You are the king of memes', 'If you are seeing this you probably got rickrolled 😔', ""Rick'd"", '1 BILLION BABY!']",@RickAstleyYT,2021-07-28T21:00:32Z
you has been rokrolled,0,[],@LObjectLeha,2024-02-10T10:03:54Z
Algum brasileiro aqui ?,0,[],@flavioassuncao8485,2024-02-10T10:00:15Z
You all just got rick rolled 😂😂,1,[],@Respect-wu9sh,2024-02-10T09:52:41Z
https://youtu.be/dQw4w9WgXcQ?si=dXHmglA5QbDnqwLv,2,['Nice try'],@ne_pridymal15,2024-02-10T09:17:23Z
https://youtu.be/oHg5SJYRHA0?si=nAa24zzGCOPH6dIl,2,[],@light-of-a-moon,2024-02-10T08:39:08Z
Congratulations 1.5B,1,[],@user-wn1cy6yi3s,2024-02-10T08:38:51Z
I rick rolled myself man,1,[],@theaceygeneral5236,2024-02-10T08:33:26Z
А ГДЕ РОБУКСЫВЫЫ,1,[],@Peredevulay,2024-02-10T08:26:38Z
Im got rickrolled,1,[],@Pelmeni-cat,2024-02-10T08:23:43Z
We all got Rick roll,1,[],@Lifein321,2024-02-10T08:16:14Z
Who is still listening to this song in 2024?,1,[],@ThuongViet17137,2024-02-10T08:12:26Z
"I legit memorized the link, that’s how insanely popular this meme got.",1,[],@cynthia6482,2024-02-10T08:05:44Z
"I did this in Karokie  and was stunned  when people danced!!man,i still jus LOVE this song!!😅😅😅❤❤Hi Rick!!",2,[],@karenwalker3116,2024-02-10T07:45:30Z
Thx bro💖👽🌷,1,[],@user-mq9hn4kr8e,2024-02-10T07:38:30Z
i got rickrolled,1,[],@sayedrulz21,2024-02-10T07:27:00Z
"Admit it, you don't arrive here by yourself",1,[],@andyferord,2024-02-10T07:26:24Z
NO F some just made me click a link to this,1,[],@jaclynwieckowski-tj8tr,2024-02-10T07:19:21Z
I rick rolled all my siblings. XD,1,[],@lankwhy,2024-02-10T07:02:03Z
Rick roll,0,[],@popka378,2024-02-10T06:22:17Z
This song is a cut I love it,0,[],@AyayronBalakay,2024-02-10T05:54:04Z
愿者上钩,0,[],@wq8693,2024-02-10T05:51:58Z
Yo the link said Free ROBUX...?!?,2,['it did'],@rahulkanwal5696,2024-02-10T05:42:46Z
My teacher send me this link and they ricked rolled me 😢,0,[],@King_of_dark717,2024-02-10T05:40:47Z
i love this guy,0,[],@user-ow2wq3re5q,2024-02-10T05:29:46Z
This song is a classic,0,[],@Devins.Channel.number1,2024-02-10T05:13:58Z
Im From  JK TAMILAN video,0,[],@daviddhanraj.j9946,2024-02-10T05:08:38Z
I Tried to Buy postal 3 From the running with scissors site and got here 😭😭😭💀,0,[],@Anguirus_singular_point,2024-02-10T05:05:39Z
Bro my friend sent this to me as a folder,1,[],@boywithukefan22,2024-02-10T05:05:21Z
1.5 billion people got rickrolled nice!,2,[],@user-ze7jv1hk4k,2024-02-10T04:59:51Z
I got Rick rolld,0,[],@NyzellMoore-xq3cv,2024-02-10T04:52:59Z
"""Get Rick Rolled bitch""",1,[],@SussyBakaa.,2024-02-10T04:51:00Z
SOMEONE KICK TROLL ME,0,[],@Narwhal414,2024-02-10T04:47:28Z
I'm never going to give you up,0,[],@noahmcdaid,2024-02-10T04:41:14Z
Ricked Rolled by Arrowhead Game Studios!!,1,[],@Snowcat259,2024-02-10T04:30:25Z
The 462k people who disliked are just mad they got rickrolled,0,[],@randomanaroundhere,2024-02-10T04:25:46Z
Best Song Ever Written! 🎧,0,[],@HelloFinnz,2024-02-10T04:24:55Z
DONT CLICK VIEW COMMENT,0,[],@XtraEclipse,2024-02-10T04:10:10Z
@RickAstleyYT did you ever think you would make such a timeless masterpiece? ❤,1,[],@andrewn7977,2024-02-10T03:59:40Z
GET RICKROLLEDDD LOL,1,[],@cag.675,2024-02-10T03:49:05Z
Happy birthday rick,0,[],@user-nw1dt1yr2n,2024-02-10T03:46:04Z
it's a rickroll,0,[],@SATSHASAURIO_YT.,2024-02-10T03:38:29Z
Happy birthday Rick,1,['3 days ago that is'],@timothywilliams9642,2024-02-10T03:36:10Z
Wier🎉d,0,[],@Shanaya_Sahay,2024-02-10T03:32:32Z
I can’t believe 1.5 billion people voluntarily clicked on this song. VERY impressive!,0,[],@ishouldfindagoodname2416,2024-02-10T03:19:30Z
But.. The  link said free bobux and money,2,['LOL'],@guewibu4374,2024-02-10T03:09:11Z
Rick roll,0,[],@Micalee23,2024-02-10T02:51:55Z
I CAME HERE BC OF R/PLACE,0,[],@seek88,2024-02-10T02:48:57Z
